ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0071706,tumor necrosis factor superfamily cytokine production,165,-0.35292772825913193,-1.8160142250471831,1.1724740250373323e-5,0.002303344133057211,0.002112045739498489,3259,"tags=39%, list=20%, signal=32%",7538/6833/80149/5663/2693/51738/4615/6348/6504/9370/351/11006/23208/929/3146/5004/5777/5795/64581/9971/5336/353514/7099/2048/948/64135/7096/3552/148022/23643/5443/64127/11213/3586/7040/6363/114900/10392/4939/120892/177/7128/10859/29108/3717/2214/84868/4940/409/2213/695/3965/50856/3952/51465/4938/3593/7474/3929/113277/9103/6868/29126/2209
GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,165,-0.35292772825913193,-1.8160142250471831,1.1724740250373323e-5,0.002303344133057211,0.002112045739498489,3259,"tags=39%, list=20%, signal=32%",7538/6833/80149/5663/2693/51738/4615/6348/6504/9370/351/11006/23208/929/3146/5004/5777/5795/64581/9971/5336/353514/7099/2048/948/64135/7096/3552/148022/23643/5443/64127/11213/3586/7040/6363/114900/10392/4939/120892/177/7128/10859/29108/3717/2214/84868/4940/409/2213/695/3965/50856/3952/51465/4938/3593/7474/3929/113277/9103/6868/29126/2209
GO:0006605,protein targeting,297,0.34200212754726617,1.6756796735546944,1.1462541321632313e-5,0.002303344133057211,0.002112045739498489,3227,"tags=30%, list=19%, signal=25%",8943/1459/80273/54543/55204/7805/9804/6293/23303/134266/9530/6745/255967/2664/3309/1121/7095/5300/30849/10134/5621/23409/4666/23787/5584/3305/282679/130617/29928/9049/23463/79158/23163/89781/196294/6731/1191/6720/66008/6728/28972/51172/10755/79844/55275/83943/128866/22881/23431/26985/22885/54741/7879/5824/11231/27183/56993/9454/54832/8266/55625/7332/5190/51114/57602/55146/5562/4074/131118/51125/9648/79720/6449/283514/9344/8851/100188893/9520/3684/26520/5830/23203/4053/65018/6135/155382/7855/64089/9182
GO:0031349,positive regulation of defense response,483,-0.2588396007748905,-1.5011836729774806,1.2228254530825311e-5,0.002327189690397692,0.002133910864671983,2924,"tags=27%, list=18%, signal=23%",5650/4615/6348/2358/8302/79184/3606/57590/351/26228/6421/4363/9575/7189/81035/100132285/1392/929/10524/78989/3146/64332/3764/51311/5610/7409/4862/5179/50487/64581/9971/8473/5336/5027/64922/6895/353514/1452/9865/5587/2896/7099/55269/79132/81622/3456/153090/948/64135/7096/4210/93978/148022/3148/23643/58484/5443/2220/3356/64127/11213/5603/330/3553/1268/3430/81030/117854/5008/6279/7040/10392/79792/120892/1326/84885/4671/2633/3600/7128/22861/80216/10084/29108/91543/4889/2634/84868/1075/8638/4940/55601/8807/85363/85480/130120/4792/838/3135/115362/409/353091/81790/695/164/84630/2865/3665/6565/5063/4938/331/3593/9111/7474/81793/2867/3929/5359/9447/837/92610/3428/83666/834/7100/29126/84166/2209/2635/118788
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,303,-0.28917430251778187,-1.6042228213168468,1.5623907844794822e-5,0.0028833211749939532,0.002643854262093669,4187,"tags=40%, list=25%, signal=30%",6774/911/1604/3329/732/23075/6556/4791/6830/10039/9390/90865/7133/604/2207/3263/3570/5321/731/5971/54795/64218/2215/729230/4436/383/100507436/80149/563/3134/79465/4615/6504/3606/11006/5580/3554/430/1380/7189/735/972/3146/64332/51311/7037/196/5777/55061/64581/5130/5027/6891/11118/84695/3718/7099/8809/81622/3125/3456/10384/2048/3726/326/9021/93978/154064/714/64127/717/3553/3586/7040/6363/7158/1378/177/10538/26022/11035/4683/7128/10859/81545/91543/3717/958/2214/6398/84868/1075/22890/712/1235/3071/3135/1439/51010/353091/2213/10673/695/8741/634/246778/3665/3136/259307/713/3593/710/5678/567/9103/3981/6868/29126/8417/2209
GO:0001819,positive regulation of cytokine production,475,-0.259430403072631,-1.504779932427659,1.6167588847524726e-5,0.0028959004729831052,0.0026553888184556863,3254,"tags=29%, list=20%, signal=24%",3659/6833/150/3620/2626/1654/5663/3134/79679/55801/201292/4615/6348/6504/3606/9370/351/3554/796/1432/3113/7189/3357/468/929/1670/972/6288/3146/3574/51311/5610/5004/3630/5795/50487/64581/9971/841/5336/5027/353514/11118/2648/1813/7099/8809/79132/81622/2048/91947/948/5142/64135/7096/4210/326/3552/93978/148022/8013/3148/719/23643/58484/1437/3356/64127/11213/5603/3553/7481/117854/3586/5008/7040/6363/114900/10392/4939/79792/120892/177/10538/4671/147372/3600/10859/22861/6772/10084/29108/91543/3717/958/10855/2214/6398/84868/4940/85480/116337/3135/115362/353091/2213/695/246778/3965/7110/284340/2865/3665/3952/199/9636/4938/331/3593/9475/7474/2867/3929/113277/3663/9447/567/10010/9103/3428/834/160364/6868/7100/29126/2209/3838
GO:0048525,negative regulation of viral process,72,-0.46522932869372546,-2.0636565371054223,1.7839980492823898e-5,0.003017930033369376,0.0027672835238137655,3666,"tags=49%, list=22%, signal=38%",6041/200315/3669/56829/9582/7538/10410/5610/8519/325/3456/5478/64135/684/6672/4599/9830/51574/117854/24138/4939/8091/3434/63901/6772/91543/5806/8638/4940/60489/9636/200316/4938/5359/3428
GO:0050727,regulation of inflammatory response,375,-0.27438372069516703,-1.5463457775129028,1.7541228529707667e-5,0.003017930033369376,0.0027672835238137655,3083,"tags=29%, list=18%, signal=24%",6280/7301/2693/51738/201292/1003/4615/6348/2358/3606/2778/9370/351/5580/26228/3554/4363/1432/9575/2678/23208/64838/27342/3371/6288/64332/3630/196/5777/50487/9971/5336/64922/353514/325/2896/7099/5925/4210/9021/5771/58484/3356/64127/5603/330/3553/1268/3430/126205/81030/3586/5008/6279/7040/56547/683/79792/120892/1326/177/4671/2633/5687/3600/7128/22861/29108/3717/4889/2634/1075/240/85480/4792/838/115362/58985/2213/695/26279/11274/284340/84630/2865/114770/126204/4142/331/3593/9111/7474/2867/3929/58189/9447/837/7130/5468/79651/834/160364/56833/2209/2635/118788/7114
GO:0009615,response to virus,383,-0.27412588691861234,-1.5427315391247562,1.911464735215583e-5,0.003146167631746729,0.0028848706743438597,3257,"tags=31%, list=20%, signal=26%",3442/3659/100507436/1654/80149/7706/10475/6773/91607/201292/4615/56915/5366/3444/1432/6367/375/10410/7189/1129/103/3764/51311/5610/22978/5179/3446/23515/6895/54765/8519/4600/4283/79132/81622/3456/64135/1755/684/6387/81786/148022/3433/4599/11213/27297/3553/4343/81030/117854/7040/24138/51191/6363/4939/8091/8467/3434/3627/440275/2633/11035/3600/7128/10859/22861/6355/581/3443/6772/10084/29108/91543/3717/958/3588/55284/3437/2537/59/25939/2634/8638/4940/55601/85363/197259/338/115362/10964/91351/10379/10561/3429/10346/246778/3965/11274/5371/3665/64108/60489/9636/200316/4938/3593/9111/5359/3663/9447/10010/11040/3964/3660/3428/83666/834/151636/84166/2635
GO:0042391,regulation of membrane potential,432,-0.2619272136064837,-1.4942519093765776,2.117737908080574e-5,0.0033939536474238675,0.0031120774521793478,3568,"tags=31%, list=21%, signal=25%",9498/54112/3791/114131/54795/3753/6648/4233/1136/9472/3744/83795/2569/869/6833/3799/22871/6804/5663/1137/3748/6331/51738/388591/3749/351/3359/5366/4878/213/2899/6262/483/1855/88/2911/8645/4137/6869/266743/3764/1145/2898/480/10935/55584/783/2890/80025/149461/5027/2557/6334/2745/2550/10369/1813/11060/3767/1138/2905/948/148/3746/10052/2257/1739/83959/845/578/55800/8929/11280/666/1258/1146/3747/1268/2555/23530/9481/6324/3739/120892/2564/90134/348980/8001/116443/3778/3742/2556/7442/2906/2570/3785/581/4915/2537/10021/3752/5026/152404/84941/2567/1811/81033/409/55669/131096/2563/3786/2185/3788/154881/27068/3728/57528/2743/5774/2566/567/2893/5649/23345/84275/57596/1824/6328/2894/29098/7341
