Gene,Log2FC,p_value,adj_pval
ACCN3,0.005091755080357227,0.7147296487073187,0.9021606595283045
ACCN4,-0.020739150845238412,0.051408311288452656,0.3112228068870956
ACCN5,-0.012605504357143174,0.5237403195442316,0.8091358220045406
ACCS,-0.006951015626373396,0.9311767861633252,0.9818394444031281
ACCSL,0.013605483113324216,0.3028065792180867,0.6531676545066644
ACD,0.10723703913736338,0.0010360251916695191,0.04126145361807235
ACE,0.005347199059066053,0.6556326882817044,0.8771354985926285
ACE2,0.01844645154120915,0.27369993409618487,0.6278775187171841
ACER1,-0.008097697320742035,0.5323445230202879,0.8146802522734633
ACER2,-0.05517780560439586,0.0021237864157056217,0.06128752240584469
ACER3,-0.013096700240384736,0.7949856228160566,0.9365146476329597
ACHE,0.00291049233012821,0.8348265424172983,0.9503209773594141
ACIN1,-0.007956409968406658,0.7492661433373516,0.9163542002174523
ACLY,0.005728906956044299,0.8089114614245847,0.9414735144071745
ACMSD,0.008929168401098964,0.6720801647799157,0.8846265596694818
ACN9,-0.009488836141483905,0.8015471262664594,0.939450765025079
ACO1,0.1043338627678568,1.7072159994337813e-4,0.014944065994938067
ACO2,-0.05739339323076953,0.08198109100446938,0.38151010897474524
ACOT1,0.012345113002747784,0.5043784985596204,0.7964724735307084
ACOT11,0.020497085209477777,0.29208245873509536,0.6445462641815256
ACOT12,-0.010659496067307157,0.5910992298718752,0.8463974300794437
ACOT2,-0.040577395524038495,0.0329105041269874,0.2505439686760431
ACOT4,0.1145728816964291,0.006387977339141752,0.10916461940023076
ACOT6,-0.014843965152472265,0.43716348685575424,0.7547849073684451
ACOT7,-0.007125522659340576,0.5508865370156872,0.8249385453280752
ACOT8,-0.05128529525686841,0.03160918302972099,0.24521110488571016
ACOT9,-0.10937702043063253,0.020583479883127188,0.19836488550521178
ACOX1,-0.009234092506410328,0.818685035541047,0.9447379376247581
ACOX2,-0.019997345979395457,0.433158249760895,0.7519605953463866
ACOX3,0.0305297340082427,0.25053670112534593,0.6074640273985182
ACOXL,0.03429306133379128,0.09888500558425202,0.41639557624155216
ACP1,-0.0031956084443673744,0.93457677091095,0.9830133262957932
ACP2,-0.006489073175824092,0.8956373846028787,0.9708633868624769
ACP5,0.02503896486263741,0.6396083059139522,0.8702948831681617
ACP6,0.024856965885989214,0.34727472051809083,0.6895466839578898
ACPL2,0.07047391080219752,0.01778994890323373,0.1855387696979096
ACPP,0.016638858624999912,0.7550353400481119,0.918789568106562
ACPT,-0.023895350127747295,0.2694289090617783,0.6240932332995831
ACR,-0.04123543505082432,0.0217039695784966,0.20394615250082854
ACRBP,0.1437957080590665,0.05623291303013951,0.32383645315835885
ACRC,-0.06940328615109931,0.05330283519981912,0.31580932997122124
ACRV1,-0.013630335653846222,0.39761399197174907,0.7264046827868884
ACSBG1,0.06921126853021946,0.0667142115537325,0.34939119189023415
ACSBG2,-0.011364575754120513,0.5508538047577507,0.8249385453280752
ACSF2,0.07557495766346166,0.0058053764332053155,0.10401354606038213
ACSF3,-0.01930729723626475,0.5039315915076881,0.7962068473967121
ACSL1,-0.24467655571978245,0.01789120392992537,0.18605231176299278
ACSL3,0.013626907923993443,0.4942136023279048,0.7905103408539083
ACSL4,-0.008563827530563374,0.7531765970775037,0.9178427074514359
ACSL5,-0.03132076860137322,0.030870441311487005,0.2418081975709847
ACSL6,0.006074527516483865,0.5518955809588459,0.8253363416267738
ACSM1,0.003408931364010733,0.8488530876095683,0.9556753749887592
ACSM2A,-0.0016071042445057412,0.9327376433261233,0.9820897871865465
ACSM2B,6.0699331959656564e-5,0.9962116857399594,0.9992889726155968
ACSM3,0.03392296813461525,0.07351960492518494,0.36442067892411073
ACSM4,-0.04202022652747279,0.013377769009382987,0.16102508829171527
ACSM5,-0.00724832394963383,0.5777484835448874,0.8391719284471081
ACSS1,-0.02994356509340643,0.4367792216643095,0.754484068936036
ACSS2,0.01198236300741711,0.5268525327251412,0.811384750789542
ACSS3,-7.52266608516492e-4,0.9706250728172682,0.9924080546875069
ACTA1,-0.027845353721154206,0.1256854466436936,0.45901113843401686
ACTA2,-0.17344886294505604,0.033633436113569906,0.25308157229991074
ACTB,0.007456285970696906,0.7907507369184925,0.9347777858260814
ACTBL2,0.023809113096154046,0.1662225608248571,0.514629323571496
ACTC1,0.006077009225274888,0.6384930441887403,0.8698043949023583
ACTG1,0.01207097575549326,0.6858857937552785,0.8903199898617671
ACTG2,0.013037819467032762,0.6079990478669077,0.854134022273824
ACTL6A,0.010925475909340107,0.7590941919446114,0.9210792715271156
ACTL6B,-0.023374050313187008,0.1996477820147824,0.5539582551294854
ACTL7A,-0.011860833824175982,0.49361881012427344,0.7903342411310036
ACTL7B,0.027376110394230387,0.21892706460521083,0.5748550096630176
ACTL8,0.0077594583090660136,0.7012340413554099,0.896648295837662
ACTN1,0.08972024789011017,0.12114401511478541,0.4521354892222656
ACTN2,-0.028086067140109975,0.1739329148694577,0.5236389870431468
ACTN3,0.008946684163461683,0.6173627913665864,0.8591202492839418
ACTN4,0.06180517854120846,0.08089100947291099,0.37907558361104987
ACTR10,0.02262266361538521,0.3632648961082784,0.7004851560509471
ACTR1A,0.038335835166209656,0.23473073253254947,0.5908881769118792
ACTR1B,0.032623071954670325,0.28955203306109195,0.6425777314622925
ACTR2,0.10923044001373701,0.005696660329236927,0.10282782740183782
ACTR3,-0.037777699313186634,0.18205564453359768,0.533927103864125
ACTR3B,0.009654043254121041,0.4170411224854047,0.7398212991942607
ACTR5,0.04029579075961566,0.1417884404960993,0.4815839845921199
ACTR6,0.03996655479945112,0.1769603002121991,0.5273358197224998
ACTR8,0.07465543801098912,0.0020794910816322454,0.06031457516468755
ACTRT1,-0.002341837635989756,0.9640891168738064,0.9906311988908003
ACTRT2,0.01755457668681332,0.37003591470072195,0.7068288752361347
ACVR1,0.0699764310164835,0.009352402842272461,0.1334734839787713
ACVR1B,0.0015716623482144197,0.9014361289022071,0.9729782773659681
ACVR1C,0.005584135564559917,0.8091992411407323,0.9415993214895805
ACVR2A,0.013902833252060695,0.5506023331984895,0.8247094477429928
ACVR2B,-0.016368131125000157,0.22961423438215975,0.5848058083418931
ACVRL1,0.007231458475274431,0.6819901492622248,0.8889407794051456
ACY1,0.004357763818680945,0.8807071630988629,0.9658505570264404
ACY3,-0.007508163427197621,0.7250493926435229,0.9062559782184735
ACYP1,-0.015348990730768902,0.48586070382631064,0.7858694980928322
ACYP2,0.036576166754120946,0.1256435918826428,0.45896495623665373
ADA,0.09791347985027493,0.08465926029619804,0.38770939936814497
ADAD1,-0.0068778814134616605,0.6689130994846109,0.8830979274241043
ADAD2,0.023942545810439635,0.210733872372791,0.565545990363092
ADAL,0.06851882825137343,0.0030993433516851615,0.07538696917187143
ADAM10,-0.13542690652060527,0.027964546878412384,0.2310236199266529
ADAM11,0.01735225144780253,0.3570040666130466,0.6955740991069129
ADAM12,-0.0035760303901101174,0.7813603566029514,0.9314363280081633
ADAM15,0.03721905898557683,0.20170840201300513,0.5560591303974846
ADAM17,-0.10170721672184115,6.201136957666482e-4,0.030354661998695777
ADAM18,-0.025292568633242127,0.1704639179778661,0.5197942059356122
ADAM19,0.02676698060302213,0.12116777762867202,0.4521354892222656
ADAM2,0.01273431665384569,0.5075083243427706,0.7986457987379023
ADAM20,-0.042757764350274764,0.016258712949104456,0.17765866242648004
ADAM21,-0.013629924826923035,0.45135184736359857,0.7646733474928392
ADAM21P,0.029972974807692215,0.08558997907982592,0.38970598124639366
ADAM22,-4.088263690530169e-5,0.9969807062965996,0.9995017468705539
ADAM23,-0.03183558511538483,0.2491474666154297,0.6063900469219713
ADAM28,0.05875971742307691,0.09484882256129533,0.4089338863782778
ADAM29,0.010696277960164906,0.6079900247739994,0.854134022273824
ADAM30,-0.011631100907966565,0.5701471956778357,0.8352956680168634
ADAM32,-0.020552543804945148,0.0448802482852977,0.2912129442093479
ADAM33,-0.021481676252747606,0.12344170670294523,0.456118482487383
ADAM3A,0.009537862152472711,0.4389952442172713,0.7565473751172931
ADAM5,0.004401908675137296,0.772466307779738,0.9277824952586485
ADAM5P,-0.02619949287637358,0.18369770792556092,0.5358486245454673
ADAM6,-0.007963304696428957,0.5962677235802712,0.8482965878085126
ADAM7,-0.025058380446428708,0.2077515545042744,0.5629678107237878
ADAM8,-0.006745454877748619,0.9288585531936013,0.9811208958275786
ADAM9,-0.02337182415934058,0.45409928087504126,0.7662844291235702
ADAMDEC1,-0.038627183210852324,0.07281300194160933,0.3626575929093695
ADAMTS1,0.04097859909477991,0.18409239551543985,0.5362134602656373
ADAMTS10,-0.03215472580494526,0.10121913193487218,0.42044800904244206
ADAMTS12,-0.01975117870054981,0.23789654280994058,0.5940513908895664
ADAMTS13,0.00921826469322316,0.3356481712017432,0.6799509719709907
ADAMTS14,-0.027271769693681964,0.014795808589218426,0.1696908050227637
ADAMTS15,0.0028591630219777595,0.8906604661253059,0.969028872063332
ADAMTS16,-0.03381515954395625,0.07704769255099972,0.3709992058350442
ADAMTS17,-0.015907964475274837,0.46051903840171593,0.7701337146723749
ADAMTS18,-0.014884796756181255,0.30395713058488877,0.6543452616305382
ADAMTS19,-0.0227386023846153,0.22143917644249758,0.5763430822483796
ADAMTS2,-0.003918564815934316,0.7874184415915952,0.9338724883511001
ADAMTS20,-0.019256056427197552,0.09468516104779992,0.40845241881786687
ADAMTS3,0.008607777986263531,0.7230693934515446,0.9055900843832048
ADAMTS4,-0.05116518072664901,0.014310181365806121,0.1662520368213764
ADAMTS5,0.028972185104395958,0.20476342183473908,0.5598470351261166
ADAMTS6,0.015545036489010865,0.4870656922453567,0.7864017895295597
ADAMTS7,0.004336095694367676,0.7795410684809878,0.9310076214207388
ADAMTS8,0.0061649229368134755,0.8089673935447379,0.9414735144071745
ADAMTS9,-0.03278340982829647,0.06997704409862407,0.35573410601671057
ADAMTSL1,-0.013114155022252277,0.12922046093748402,0.46406423937449787
ADAMTSL2,-0.02073592455219751,0.3229139879719126,0.6704919052530773
ADAMTSL3,0.01169255090247227,0.6320635345931933,0.8669693749013462
ADAMTSL4,-0.035905313943681336,0.05569575397894915,0.3222192129128233
ADAMTSL5,0.03214743054945062,0.1282428610610928,0.4624925581484855
ADAP1,0.044578482390110086,0.34768089829812665,0.6896137629623759
ADAP2,-0.05133206127335191,0.3878453728714438,0.7186573518784194
ADAR,-0.05105833143589739,0.15976657800233526,0.5050623156927259
ADARB1,0.02091832415453283,0.38330084141339027,0.7160233447499874
ADARB2,-0.04259552666483563,0.16556941570199202,0.5137662019397986
ADAT1,0.0601502939340667,0.03451633571854049,0.2566198417951426
ADAT2,0.016470529222527657,0.4698695008574084,0.7759607448462171
ADAT3,0.023185232697802403,0.4154690804882821,0.7389791056168159
ADC,0.024308620989010946,0.2099744623801848,0.5646802288125211
ADCK1,0.06523012412774702,0.049569383147781504,0.3056848147012268
ADCK2,0.0536497021208795,0.1351787181772549,0.47238145195578923
ADCK4,0.05871906068818719,0.13853756218803778,0.47742969945402736
ADCK5,-0.023219618549450368,0.35170569103661886,0.6922389376042358
ADCY1,0.01232196177197804,0.37274927483582,0.709038115791446
ADCY10,0.004764522950549489,0.8088616149824311,0.9414735144071745
ADCY2,0.027959640329670115,0.18331746094705942,0.5354775483233454
ADCY3,0.003814852346153718,0.9132863080669795,0.97661763941149915
ADCY4,-0.008354405918956188,0.8363485315726538,0.9510048011678953
ADCY5,0.016184242288461652,0.4325570353879967,0.7515639627413715
ADCY6,0.0010465683763734638,0.9452058757275541,0.985338657595461
ADCY7,-0.06969458492719853,0.04232142842024287,0.2828867092204093
ADCY8,-0.02200762924725296,0.1817907312334866,0.533809905963839
ADCY9,0.09939123754120917,8.09418986702291e-4,0.035526258486181836
ADCYAP1,-0.009873965460165264,0.5738619362856596,0.8370359937028027
ADCYAP1R1,-0.04982706379807633,0.003170438076406094,0.07648817765250047
ADD1,0.010160188660714593,0.7327627322997969,0.9096248454320587
ADD2,-0.024704780721153924,0.012241160155974139,0.15386821859364752
ADD3,0.02814951253502756,0.39585798269736916,0.7247441284152358
ADH1A,-0.018643984160714465,0.2819908843742148,0.6360439868476128
ADH1B,-0.011448402501373604,0.5596030023035804,0.8300020743058484
ADH1C,-0.010366069884615607,0.5353540438975811,0.8166886293798368
ADH4,-0.05823359844917591,0.022851725264112922,0.20930874909647706
ADH5,0.018582529166208915,0.5566849234033076,0.8277836851931648
ADH6,-0.001697680206043827,0.9402194870910106,0.9844190438554755
ADH7,-0.007758920071428916,0.6873113593637981,0.890731749196317
ADHFE1,0.04759807278571481,0.25609476580465995,0.6129871222698355
ADI1,-0.10497718648763806,0.02624597302596559,0.22371256026864017
ADIG,-0.03580097338873635,0.0416327924327019,0.28106383136199564
ADIPOQ,-0.0277195507980771,0.19435857362722678,0.5489764996233353
ADIPOR1,0.06663561667788474,0.23761788192661162,0.5937329695019239
ADIPOR2,0.0822726817046701,5.777130070851504e-4,0.02914158741678641
ADK,0.005398503321085174,0.8384474194301711,0.9519666803622776
ADM,-0.24846954012637418,0.061534247208323484,0.33549188979333344
ADM2,-0.019221088550824196,0.3543876332401026,0.6941127054145632
ADNP,0.04753169303228013,0.058357446957231836,0.3281541050413459
ADNP2,0.15725374373351736,1.1061403582506747e-6,9.219318454825164e-4
ADO,0.02911825324450541,0.2568894490349037,0.6130816241699619
ADORA1,0.004211356516025609,0.726210276965854,0.9068898212783387
ADORA2A,0.003988226314560455,0.924378901494575,0.9795359574517026
ADORA2B,0.03513004569368152,0.28142708597604327,0.6358056036171094
ADORA3,0.04748287003640114,0.4122858585743715,0.7369452724574329
ADPGK,-0.07072103275412085,0.005245332566894779,0.09757823235833772
ADPRH,0.024697537649725588,0.40350239477776284,0.7304416047399755
ADPRHL1,0.012942793334248826,0.2791072336446245,0.6334460800947233
ADPRHL2,-0.08666104370054953,0.01367303247232219,0.162283013100456
ADRA1A,-0.01607360771813192,0.10110195505657638,0.4203669550809226
ADRA1B,-0.03741924601098916,0.029602108903914424,0.23710387203470423
ADRA1D,-0.006197772928571729,0.7330025911386355,0.9098044721009028
ADRA2A,-0.025637943554945527,0.23758559752039551,0.5936995060174896
ADRA2B,0.024812422557692806,0.2699194907759697,0.6246770687919305
ADRA2C,-0.007778834566620594,0.621979540639362,0.8616004075329233
ADRB1,0.01030209320604383,0.665902142273407,0.8819758386262102
ADRB2,0.01773612314972522,0.6672144383980632,0.8823985315650601
ADRB3,-0.004112663364011224,0.8164545535012059,0.944384784055916
ADRBK1,0.02103570387774659,0.19561613749888518,0.5503520803079647
ADRBK2,0.004413866803571713,0.815121671210546,0.9440545684574748
ADRM1,0.022487071763735725,0.36169307019143515,0.699618746629932
ADSL,0.0065314434945064476,0.8642546338884386,0.9606698556147942
ADSS,-0.02759773720535746,0.38566980282351304,0.71710465199795
ADSSL1,0.001612350038919845,0.9046368024840353,0.9737148424750738
AEBP1,0.036620024565934044,0.38593124732297424,0.7172651845269027
AEBP2,0.011729876247253218,0.641194311410851,0.870893817559439
AEN,0.02320336260439582,0.3353685493584251,0.6795597415783007
AES,0.050350558605310666,0.14468573489073536,0.48567548650675596
AFAP1,-0.0017030591190475175,0.9147275575992331,0.9771905282369197
AFAP1L1,0.011687681247252503,0.5681507140945239,0.834198888322265
AFAP1L2,0.041090693730768894,0.16094956204587582,0.5071186020507011
AFAR3,-0.033535455035714194,0.06556078835715995,0.3460088282683179
AFARP1,-0.03716049151991779,0.00848064951540687,0.12601082348518974
AFF1,-0.08114836427472598,0.04313852548750125,0.2851617774534679
AFF2,0.0048271700013732535,0.8080023328712826,0.9410230493491843
AFF3,-0.001581907150411982,0.9669289318831055,0.9911999020920019
AFF4,-0.029164300199176325,0.5340816162706243,0.8156052119887068
AFG3L1,-0.006779985820398787,0.620433901147724,0.8605621122597156
AFG3L2,0.07677945789011062,0.009898919615812464,0.13795274849069733
AFM,-0.03596393925824237,0.056580126503322545,0.32503906652688785
AFMID,-0.05514220915796745,0.1840654009497581,0.5362134602656373
AFP,0.012485927550823783,0.5737509804442017,0.8369632043559153
AFTPH,-0.01425682312820519,0.36654796598039885,0.7035016720960068
AGA,0.04684334198901125,0.18276350707001857,0.5349291682670504
AGAP1,0.018234047278845967,0.18608791527159582,0.5388493309011081
AGAP11,-1.7701254945023834e-4,0.9920202191851877,0.9980421899935807
AGAP2,0.0199006815467034,0.39127072226576287,0.7216429202373299
AGAP3,0.022183368072115246,0.1391699882099085,0.47842127621339636
AGAP6,-0.045267424239011395,0.17498910870373466,0.5250842862717049
AGAP7,-0.012315652211538613,0.6281252945531163,0.8644416960922896
AGAP8,0.11145046548351616,0.008147917679549326,0.12341923227976202
AGBL1,0.003425834173077034,0.7905606222862632,0.9347055879209222
AGBL2,-0.0012736195398354252,0.9409125232845422,0.9846298656582313
AGBL3,-0.017501100432691718,0.4119754576705461,0.73675162469292
AGBL4,-0.00499366992582461,0.8034918724867526,0.9397296458789983
AGBL5,0.06136747647733576,0.0022619719031746898,0.06380952544482237
AGC1,-0.016596719653846192,0.4147876057105436,0.7385475263756589
AGER,-0.032662009406594125,0.049026671123443555,0.30423453658941285
AGFG1,0.012055539912087809,0.6777223765573757,0.8865344407963739
AGFG2,0.04867032618681303,0.004198836497913525,0.08856102444204438
AGGF1,0.034522104416896085,0.1414913389218281,0.48127576761092866
AGK,-0.009530806129120755,0.7976688330565677,0.9375941810720835
AGL,0.015361937268887418,0.12327303908113516,0.45607203720240375
AGMAT,0.06767932329395583,0.22891540230256652,0.5843944299561702
